GEO_ID,NAME,,P1_001N,P1_001NA,P1_002N,P1_002NA,P1_003N,P1_003NA,P1_004N,P1_004NA,P1_005N,P1_005NA,P1_006N,P1_006NA,P1_007N,P1_007NA,P1_008N,P1_008NA,P1_009N,P1_009NA,P1_010N,P1_010NA,P1_011N,P1_011NA,P1_012N,P1_012NA,P1_013N,P1_013NA,P1_014N,P1_014NA,P1_015N,P1_015NA,P1_016N,P1_016NA,P1_017N,P1_017NA,P1_018N,P1_018NA,P1_019N,P1_019NA,P1_020N,P1_020NA,P1_021N,P1_021NA,P1_022N,P1_022NA,P1_023N,P1_023NA,P1_024N,P1_024NA,P1_025N,P1_025NA,P1_026N,P1_026NA,P1_027N,P1_027NA,P1_028N,P1_028NA,P1_029N,P1_029NA,P1_030N,P1_030NA,P1_031N,P1_031NA,P1_032N,P1_032NA,P1_033N,P1_033NA,P1_034N,P1_034NA,P1_035N,P1_035NA,P1_036N,P1_036NA,P1_037N,P1_037NA,P1_038N,P1_038NA,P1_039N,P1_039NA,P1_040N,P1_040NA,P1_041N,P1_041NA,P1_042N,P1_042NA,P1_043N,P1_043NA,P1_044N,P1_044NA,P1_045N,P1_045NA,P1_046N,P1_046NA,P1_047N,P1_047NA,P1_048N,P1_048NA,P1_049N,P1_049NA,P1_050N,P1_050NA,P1_051N,P1_051NA,P1_052N,P1_052NA,P1_053N,P1_053NA,P1_054N,P1_054NA,P1_055N,P1_055NA,P1_056N,P1_056NA,P1_057N,P1_057NA,P1_058N,P1_058NA,P1_059N,P1_059NA,P1_060N,P1_060NA,P1_061N,P1_061NA,P1_062N,P1_062NA,P1_063N,P1_063NA,P1_064N,P1_064NA,P1_065N,P1_065NA,P1_066N,P1_066NA,P1_067N,P1_067NA,P1_068N,P1_068NA,P1_069N,P1_069NA,P1_070N,P1_070NA,P1_071N,P1_071NA
0500000US13137,Habersham County, Georgia,46031,null,42313,null,36249,null,1749,null,236,null,999,null,36,null,3044,null,3718,null,3573,null,295,null,813,null,149,null,17,null,2220,null,19,null,1,null,0,null,24,null,0,null,0,null,19,null,0,null,8,null,8,null,118,null,20,null,9,null,3,null,14,null,0,null,2,null,52,null,5,null,0,null,0,null,2,null,1,null,2,null,4,null,0,null,0,null,0,null,4,null,0,null,0,null,27,null,9,null,0,null,12,null,0,null,0,null,0,null,4,null,1,null,0,null,0,null,0,null,0,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US13139,Hall County, Georgia,203136,null,180847,null,130744,null,14660,null,1739,null,4254,null,107,null,29343,null,22289,null,21606,null,1511,null,2663,null,792,null,54,null,15459,null,89,null,43,null,6,null,343,null,14,null,0,null,575,null,15,null,41,null,1,null,624,null,112,null,28,null,2,null,135,null,38,null,1,null,220,null,9,null,49,null,5,null,0,null,1,null,10,null,0,null,3,null,8,null,0,null,0,null,0,null,3,null,57,null,21,null,1,null,31,null,0,null,0,null,0,null,0,null,4,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,2,null,1,null,0,null,1,null,0,null,0,null,0,null,0,null,0,null
0500000US13141,Hancock County, Georgia,8735,null,8535,null,2421,null,6028,null,25,null,37,null,1,null,23,null,200,null,180,null,73,null,49,null,13,null,2,null,25,null,8,null,0,null,0,null,7,null,0,null,0,null,1,null,0,null,1,null,1,null,20,null,9,null,2,null,0,null,2,null,0,null,0,null,2,null,2,null,1,null,0,null,2,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US13143,Haralson County, Georgia,29919,null,28749,null,27011,null,1253,null,64,null,187,null,11,null,223,null,1170,null,1112,null,217,null,559,null,57,null,6,null,233,null,9,null,13,null,1,null,12,null,2,null,2,null,0,null,1,null,0,null,0,null,48,null,19,null,2,null,1,null,1,null,4,null,3,null,10,null,0,null,2,null,0,null,0,null,0,null,3,null,3,null,0,null,0,null,0,null,0,null,0,null,0,null,7,null,1,null,3,null,0,null,0,null,0,null,0,null,0,null,3,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,3,null,0,null,3,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US13145,Harris County, Georgia,34668,null,32607,null,26353,null,5237,null,122,null,397,null,21,null,477,null,2061,null,1934,null,351,null,585,null,257,null,18,null,614,null,25,null,14,null,2,null,47,null,0,null,0,null,7,null,8,null,3,null,3,null,108,null,34,null,5,null,0,null,2,null,20,null,0,null,20,null,3,null,18,null,0,null,2,null,2,null,0,null,2,null,0,null,0,null,0,null,0,null,0,null,0,null,14,null,0,null,0,null,5,null,1,null,4,null,0,null,0,null,0,null,0,null,0,null,0,null,4,null,0,null,0,null,0,null,5,null,5,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US13147,Hart County, Georgia,25828,null,24648,null,19447,null,4334,null,63,null,335,null,2,null,467,null,1180,null,1117,null,312,null,318,null,60,null,13,null,373,null,21,null,3,null,4,null,7,null,5,null,0,null,0,null,0,null,0,null,1,null,52,null,25,null,9,null,0,null,0,null,3,null,0,null,4,null,4,null,0,null,0,null,5,null,0,null,0,null,2,null,0,null,0,null,0,null,0,null,0,null,0,null,9,null,3,null,0,null,4,null,1,null,0,null,0,null,0,null,0,null,0,null,1,null,0,null,0,null,0,null,0,null,0,null,2,null,0,null,2,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US13149,Heard County, Georgia,11412,null,10810,null,9672,null,942,null,33,null,53,null,6,null,104,null,602,null,561,null,144,null,273,null,18,null,4,null,96,null,6,null,1,null,0,null,15,null,0,null,0,null,3,null,0,null,1,null,0,null,38,null,11,null,4,null,0,null,6,null,0,null,0,null,2,null,0,null,3,null,2,null,0,null,0,null,0,null,1,null,9,null,0,null,0,null,0,null,0,null,0,null,3,null,3,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
0500000US13151,Henry County, Georgia,240712,null,225110,null,89241,null,118124,null,832,null,8064,null,132,null,8717,null,15602,null,14407,null,3224,null,1991,null,954,null,63,null,5014,null,801,null,437,null,82,null,1561,null,9,null,3,null,149,null,18,null,89,null,12,null,1073,null,429,null,116,null,12,null,237,null,34,null,5,null,118,null,17,null,19,null,0,null,12,null,7,null,27,null,23,null,4,null,5,null,0,null,3,null,0,null,5,null,108,null,21,null,3,null,71,null,0,null,0,null,1,null,7,null,4,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,11,null,1,null,10,null,0,null,0,null,0,null,0,null,3,null,3,null
0500000US13153,Houston County, Georgia,163633,null,151769,null,88519,null,52610,null,574,null,4975,null,153,null,4938,null,11864,null,11004,null,2313,null,2014,null,1380,null,76,null,4039,null,292,null,292,null,21,null,377,null,18,null,0,null,68,null,49,null,51,null,14,null,768,null,249,null,105,null,0,null,132,null,54,null,1,null,76,null,57,null,33,null,3,null,17,null,3,null,10,null,0,null,17,null,0,null,4,null,0,null,0,null,7,null,91,null,20,null,4,null,43,null,8,null,0,null,0,null,3,null,6,null,0,null,1,null,6,null,0,null,0,null,0,null,0,null,1,null,0,null,0,null,0,null,1,null,0,null,0,null,0,null,0,null
0500000US13155,Irwin County, Georgia,9666,null,9358,null,6487,null,2229,null,24,null,119,null,1,null,498,null,308,null,275,null,53,null,98,null,16,null,8,null,77,null,8,null,2,null,1,null,8,null,2,null,0,null,0,null,2,null,0,null,0,null,21,null,3,null,4,null,0,null,9,null,0,null,0,null,0,null,0,null,0,null,1,null,0,null,0,null,3,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,12,null,0,null,0,null,9,null,0,null,2,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,1,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
