STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/7/21,75,84,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/8/21,77,87,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/9/21,74,78,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/10/21,71,78,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/11/21,70,81,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/12/21,74,86,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/13/21,80,88,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/14/21,76,81,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/15/21,80,91,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/16/21,77,80,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/17/21,74,77,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/18/21,78,88,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/19/21,75,80,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/20/21,69,78,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/21/21,72,80,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/22/21,77,83,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/23/21,78,82,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/24/21,68,76,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/25/21,68,79,58
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/26/21,69,76,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/27/21,70,83,58
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/28/21,71,76,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/29/21,65,72,55
